name_x,height_x,weight_x,reach_x,fx_win,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,name_y,height_y,weight_y,reach_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y,stance_x_Open Stance,stance_x_Orthodox,stance_x_Sideways,stance_x_Southpaw,stance_x_Switch,stance_y_Open Stance,stance_y_Orthodox,stance_y_Sideways,stance_y_Southpaw,stance_y_Switch
Igor Araujo,1.85,170.0,1.96,0,34.6,7.3,0.7,4.77,0.65,1.2,0.19,0.38,0.8,0.75,Sean Strickland,1.85,170.0,1.93,24.38,3.44,0.32,3.44,0.32,1.74,0.44,0.44,0.43,0.94,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,1,31.58,2.74,0.49,6.89,0.63,1.58,0.5,0.6,0.0,0.86,James Irvin,1.88,205.0,1.9,31.89,2.33,0.33,3.16,0.43,0.0,0.0,1.0,0.0,0.65,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,1,32.16,3.2,0.52,6.79,0.63,2.43,0.56,0.56,0.49,0.8,Todd Brown,1.8,205.0,1.8,34.22,2.8,0.48,2.8,0.48,0.0,0.0,0.0,0.0,0.83,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,1,32.94,3.84,0.55,6.52,0.64,2.09,0.56,0.47,0.42,0.75,Krzysztof Soszynski,1.85,205.0,1.96,34.36,6.28,0.54,5.55,0.54,0.0,0.0,0.22,0.91,0.66,0,1,0,0,0,1,0,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,33.72,6.29,0.62,4.6,0.6,1.95,0.43,0.12,0.65,0.73,Vinny Magalhaes,1.91,205.0,2.01,28.23,2.4,0.24,2.4,0.24,2.0,0.67,0.67,0.0,0.67,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,33.95,5.45,0.63,4.36,0.64,1.12,0.33,0.2,0.0,0.71,Joey Beltran,1.85,185.0,1.9,31.02,8.53,0.45,9.69,0.51,0.98,0.27,0.46,0.0,0.59,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,34.45,4.62,0.6,8.12,0.66,0.81,0.25,0.2,0.0,0.71,Ryan Jimmo,1.85,205.0,1.85,31.55,3.84,0.73,3.84,0.73,0.0,0.0,0.0,0.0,0.84,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,34.85,3.63,0.58,8.18,0.71,0.59,0.17,0.25,0.29,0.69,Rafael Feijao,1.85,205.0,1.85,33.57,7.27,0.5,8.3,0.52,0.0,0.0,0.0,0.0,0.67,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,34.85,3.54,0.59,9.75,0.73,0.4,0.11,0.22,0.4,0.69,Rafael Feijao,1.85,205.0,1.85,33.57,7.27,0.5,8.3,0.52,0.0,0.0,0.0,0.0,0.67,0,1,0,0,0,0,1,0,0,0
Rafael Feijao,1.85,205.0,1.85,1,33.57,5.36,0.39,8.26,0.49,0.0,0.0,0.0,0.0,0.69,Igor Pokrajac,1.83,205.0,1.93,34.85,3.54,0.59,9.75,0.73,0.4,0.11,0.22,0.4,0.69,0,1,0,0,0,0,1,0,0,0
Rafael Feijao,1.85,205.0,1.85,1,33.57,7.27,0.5,8.3,0.52,0.0,0.0,0.0,0.0,0.67,Igor Pokrajac,1.83,205.0,1.93,34.85,3.54,0.59,9.75,0.73,0.4,0.11,0.22,0.4,0.69,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,35.97,3.74,0.58,11.01,0.73,0.0,0.0,0.17,0.46,0.7,Marcos Rogerio de Lima,1.85,253.0,1.9,29.49,21.21,0.7,12.12,0.8,0.0,0.0,0.0,0.0,0.75,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,36.85,3.22,0.58,9.5,0.82,0.0,0.0,0.33,0.77,0.71,Rafael Feijao,1.85,205.0,1.85,35.57,2.82,0.57,5.64,0.66,0.0,0.0,0.41,0.0,0.62,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,36.85,6.29,0.61,12.41,0.76,0.0,0.0,0.0,0.0,0.72,Rafael Feijao,1.85,205.0,1.85,35.57,2.82,0.57,5.64,0.66,0.0,0.0,0.41,0.0,0.62,0,1,0,0,0,0,1,0,0,0
Rafael Feijao,1.85,205.0,1.85,1,35.57,2.82,0.57,5.64,0.66,0.0,0.0,0.41,0.0,0.65,Igor Pokrajac,1.83,205.0,1.93,36.85,6.29,0.61,12.41,0.76,0.0,0.0,0.0,0.0,0.72,0,1,0,0,0,0,1,0,0,0
Rafael Feijao,1.85,205.0,1.85,1,35.57,2.82,0.57,5.64,0.66,0.0,0.0,0.41,0.0,0.62,Igor Pokrajac,1.83,205.0,1.93,36.85,6.29,0.61,12.41,0.76,0.0,0.0,0.0,0.0,0.72,0,1,0,0,0,0,1,0,0,0
Igor Pokrajac,1.83,205.0,1.93,0,37.27,6.29,0.61,13.61,0.79,0.0,0.0,0.0,0.0,0.7,Jan Blachowicz,1.88,205.0,1.98,33.13,3.28,0.52,4.0,0.6,0.47,0.25,0.33,0.47,0.87,0,1,0,0,0,0,1,0,0,0
Ildemar Alcantara,1.88,185.0,1.98,0,31.63,3.86,0.55,4.03,0.63,3.42,0.75,0.41,1.71,0.73,Kenny Robertson,1.78,170.0,1.88,30.39,6.48,0.67,3.69,0.59,1.3,0.21,0.22,1.3,0.88,0,1,0,0,0,0,1,0,0,0
Ildemar Alcantara,1.88,185.0,1.98,1,32.2,3.15,0.51,5.1,0.66,2.75,0.73,0.38,0.75,0.7,Richardson Moreira,1.88,185.0,1.83,30.84,12.12,0.8,12.12,0.8,0.0,0.0,0.0,0.0,0.7,0,1,0,0,0,0,1,0,0,0
Ildemar Alcantara,1.88,185.0,1.98,0,32.66,2.73,0.5,4.57,0.62,2.0,0.62,0.38,0.75,0.71,Kevin Casey,1.8,185.0,1.96,34.08,23.53,0.89,23.53,0.89,0.0,0.0,0.0,0.0,0.67,0,1,0,0,0,0,0,0,1,0
Ilir Latifi,1.78,205.0,1.85,1,32.47,3.35,0.52,4.84,0.58,3.73,1.0,1.0,3.73,0.67,Sean O'Connell,1.85,205.0,1.88,32.38,9.92,0.58,9.92,0.58,0.0,0.0,0.0,0.92,0.7,0,1,0,0,0,0,1,0,0,0
Ilir Latifi,1.78,205.0,1.85,0,33.1,2.55,0.61,3.15,0.63,2.45,0.25,0.25,0.0,0.65,Ryan Bader,1.88,205.0,1.88,33.24,2.85,0.41,2.85,0.41,2.92,0.35,0.35,0.27,0.81,0,1,0,0,0,0,1,0,0,0
Ilir Latifi,1.78,205.0,1.85,1,34.12,2.38,0.54,2.51,0.55,1.91,0.18,0.23,0.0,0.67,Tyson Pedro,1.91,205.0,2.01,25.98,5.91,0.73,5.91,0.73,3.62,1.0,1.0,1.81,0.67,0,1,0,0,0,0,1,0,0,0
Ilir Latifi,1.78,205.0,1.85,1,34.58,2.87,0.57,2.55,0.58,2.79,0.32,0.23,0.0,0.68,Ovince Saint Preux,1.91,205.0,2.03,34.88,4.01,0.47,4.6,0.53,0.42,0.17,0.25,0.85,0.62,0,1,0,0,0,0,0,0,1,0
Ilir Latifi,1.78,205.0,1.85,0,36.04,3.2,0.53,2.44,0.48,1.47,0.29,0.0,0.37,0.67,Volkan Oezdemir,1.88,205.0,1.9,29.89,5.55,0.52,5.55,0.52,0.81,0.25,0.25,0.0,0.79,0,1,0,0,0,0,1,0,0,0
Ion Cutelaba,1.85,205.0,1.9,1,22.8,2.2,0.22,4.84,0.52,0.0,0.0,0.33,0.0,0.79,Jonathan Wilson,1.88,205.0,1.9,29.21,7.49,0.68,7.49,0.68,1.5,1.0,1.0,0.0,0.75,0,0,0,1,0,0,0,0,1,0
