f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Renan Barao
            ","
              Mitch Gagnon
            ",59,58,2,0,1,0,1,0,"
        Bantamweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        3
      ","

        
        3:53
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Patrick Cummins
            ","
              Antonio Carlos Junior
            ",62,12,4,1,0,1,6,1,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Rashid Magomedov
            ","
              Elias Silverio
            ",91,56,1,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        4:57
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Erick Silva
            ","
              Mike Rhodes
            ",2,2,1,0,1,0,1,0,"
        Welterweight","
        
        

        SUB

      ","
        Arm Triangle
      ","

        1
      ","

        
        1:15
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Daniel Sarafian
            ","
              Antonio Dos Santos
            ",24,37,0,0,0,0,0,1,"
        Middleweight","
        
        

        KO/TKO

      ","
        
      ","

        2
      ","

        
        1:01
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Marcos Rogerio de Lima
            ","
              Igor Pokrajac
            ",18,3,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:59
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Renato Moicano
            ","
              Tom Niinimaki
            ",48,33,1,0,1,0,3,0,"
        Featherweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        3:30
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Hacran Dias
            ","
              Darren Elkins
            ",30,37,5,1,0,1,6,4,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Leandro Issa
            ","
              Ulka Sasaki
            ",25,8,2,1,1,1,5,1,"
        Bantamweight","
        
        

        SUB

      ","
        Neck Crank
      ","

        2
      ","

        
        4:13
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
"
              Tim Means
            ","
              Marcio Alexandre Junior
            ",43,36,1,1,0,0,0,0,"
        Welterweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Machida vs Dollaway
            ","
      ,
      December 20, 2014
    "
