f1_name,f2_name,f1_str,f2_str,f1_tds,f2_tds,f1_subs,f2_subs,f1_pass,f2_pass,weight_class,method,finisher,round_num,time,event_name,event_date
"
              Anthony Smith
            ","
              Alexander Gustafsson
            ",49,72,0,1,1,0,1,1,"
        Light Heavyweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        4
      ","

        
        2:38
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Aleksandar Rakic
            ","
              Jimi Manuwa
            ",2,2,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        0:47
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Makwan Amirkhani
            ","
              Chris Fishgold
            ",9,16,1,0,1,0,2,0,"
        Featherweight","
        
        

        SUB

      ","
        Anaconda Choke
      ","

        2
      ","

        
        4:25
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Christos Giagos
            ","
              Damir Hadzovic
            ",47,24,6,1,0,0,3,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Daniel Teymur
            ","
              Sung Bin Jo
            ",40,21,1,1,0,1,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Sergey Khandozhko
            ","
              Rostem Akman
            ",60,39,1,2,0,0,1,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Lina Lansberg
            ","
              Tonya Evinger
            ",50,6,1,1,0,0,2,2,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Leonardo Santos
            ","
              Stevie Ray
            ",12,2,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:17
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Frank Camacho
            ","
              Nick Hein
            ",100,37,0,1,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        4:56
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Bea Malecki
            ","
              Duda Santana
            ",19,42,0,3,2,0,1,0,"
        Women's Bantamweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        1:59
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Devin Clark
            ","
              Darko Stosic
            ",40,26,2,1,0,0,0,1,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Joel Alvarez
            ","
              Danilo Belluardo
            ",19,13,0,2,0,0,1,2,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        2:22
      ","
              UFC Fight Night: Gustafsson vs. Smith
            ","
      ,
      June 01, 2019
    "
"
              Henry Cejudo
            ","
              Marlon Moraes
            ",90,57,1,0,1,0,1,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        4:51
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Valentina Shevchenko
            ","
              Jessica Eye
            ",8,2,2,0,1,0,3,0,"
        Women's Flyweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        2
      ","

        
        0:26
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Tony Ferguson
            ","
              Donald Cerrone
            ",104,68,0,1,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        
      ","

        2
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Petr Yan
            ","
              Jimmie Rivera
            ",56,73,1,0,0,0,1,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Blagoy Ivanov
            ","
              Tai Tuivasa
            ",73,64,2,0,0,0,0,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Tatiana Suarez
            ","
              Nina Ansaroff
            ",75,48,4,0,0,0,2,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Aljamain Sterling
            ","
              Pedro Munhoz
            ",174,105,0,0,0,0,0,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Alexa Grasso
            ","
              Karolina Kowalkiewicz
            ",148,90,0,0,1,0,0,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Calvin Kattar
            ","
              Ricardo Lamas
            ",22,12,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        4:06
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Xiaonan Yan
            ","
              Angela Hill
            ",94,71,1,1,0,1,1,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Darren Stewart
            ","
              Bevon Lewis
            ",30,31,0,0,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Eddie Wineland
            ","
              Grigorii Popov
            ",74,55,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        4:47
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Katlyn Chookagian
            ","
              Joanne Calderwood
            ",82,112,0,3,0,0,0,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 238: Cejudo vs. Moraes
            ","
      ,
      June 08, 2019
    "
"
              Chan Sung Jung
            ","
              Renato Moicano
            ",16,0,0,0,0,0,2,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:58
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Randy Brown
            ","
              Bryan Barberena
            ",89,47,0,0,0,0,0,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        3
      ","

        
        2:54
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Andre Ewell
            ","
              Anderson Dos Santos
            ",73,35,0,2,0,0,0,4,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Andrea Lee
            ","
              Montana De La Rosa
            ",73,14,1,5,0,1,2,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Kevin Holland
            ","
              Alessio Di Chirico
            ",58,51,0,2,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Dan Ige
            ","
              Kevin Aguilar
            ",71,33,1,1,0,0,3,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Ashley Yoder
            ","
              Syuri Kondo
            ",75,23,1,0,0,1,8,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Luis Pena
            ","
              Matt Wiman
            ",87,24,1,1,1,0,7,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        3
      ","

        
        1:14
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Jairzinho Rozenstruik
            ","
              Allen Crowder
            ",4,0,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:09
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Molly McCann
            ","
              Ariane Lipski
            ",108,68,2,0,0,0,2,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Deron Winn
            ","
              Eric Spicely
            ",169,108,0,0,0,0,0,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Moicano vs. The Korean Zombie
            ","
      ,
      June 22, 2019
    "
"
              Francis Ngannou
            ","
              Junior Dos Santos
            ",9,4,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:11
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Joseph Benavidez
            ","
              Jussier Formiga
            ",50,15,0,1,0,0,1,1,"
        Flyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        4:47
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Demian Maia
            ","
              Anthony Rocco Martin
            ",3,22,3,0,0,0,4,2,"
        Welterweight","
        
        

        M-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Vinc Pichel
            ","
              Roosevelt Roberts
            ",60,31,3,2,1,0,6,2,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Drew Dober
            ","
              Polo Reyes
            ",16,5,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        1:07
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Alonzo Menifield
            ","
              Paul Craig
            ",8,7,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:19
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Ricardo Ramos
            ","
              Journey Newson
            ",40,38,3,0,0,1,3,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Eryk Anders
            ","
              Vinicius Moreira
            ",11,2,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        1:18
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Jared Gordon
            ","
              Dan Moret
            ",48,34,2,2,0,1,5,4,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Dalcha Lungiambula
            ","
              Dequan Townsend
            ",32,13,4,0,0,0,4,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        3
      ","

        
        0:42
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Amanda Ribas
            ","
              Emily Whitmire
            ",21,7,2,0,2,0,3,0,"
        Women's Strawweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        2:10
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Maurice Greene
            ","
              Junior Albini
            ",37,19,0,0,0,0,2,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:38
      ","
              UFC Fight Night: Ngannou vs. Dos Santos
            ","
      ,
      June 29, 2019
    "
"
              Jon Jones
            ","
              Thiago Santos
            ",59,43,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        S-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Amanda Nunes
            ","
              Holly Holm
            ",17,11,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        1
      ","

        
        4:10
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Jorge Masvidal
            ","
              Ben Askren
            ",3,0,0,0,0,0,0,0,"
        Welterweight","
        
        

        KO/TKO

      ","
        Flying Knee
      ","

        1
      ","

        
        0:05
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Jan Blachowicz
            ","
              Luke Rockhold
            ",30,14,0,0,0,0,0,0,"
        Light Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        1:39
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Michael Chiesa
            ","
              Diego Sanchez
            ",47,7,5,1,0,0,8,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Arnold Allen
            ","
              Gilbert Melendez
            ",102,23,1,0,0,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Marlon Vera
            ","
              Nohelin Hernandez
            ",10,22,1,1,1,0,2,1,"
        Bantamweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        2
      ","

        
        3:25
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Claudia Gadelha
            ","
              Randa Markos
            ",40,25,0,0,0,0,0,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Song Yadong
            ","
              Alejandro Perez
            ",8,1,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:04
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Edmen Shahbazyan
            ","
              Jack Marshman
            ",13,0,1,0,1,0,2,0,"
        Middleweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        1
      ","

        
        1:12
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Chance Rencountre
            ","
              Ismail Naurdiev
            ",4,21,2,2,0,0,4,1,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Julia Avila
            ","
              Pannie Kianzad
            ",49,33,0,1,0,0,2,0,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 239: Jones vs. Santos
            ","
      ,
      July 06, 2019
    "
"
              Germaine de Randamie
            ","
              Aspen Ladd
            ",4,0,0,0,0,0,0,0,"
        Women's Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:16
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Urijah Faber
            ","
              Ricky Simon
            ",11,4,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:46
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Josh Emmett
            ","
              Mirsad Bektic
            ",27,10,0,0,0,0,1,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        4:25
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Karl Roberson
            ","
              Wellington Turman
            ",50,25,0,4,0,2,1,7,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Marvin Vettori
            ","
              Cezar Ferreira
            ",78,39,2,0,0,0,2,0,"
        Middleweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Mike Rodriguez
            ","
              John Allan
            ",70,55,0,4,0,3,0,3,"
        Light Heavyweight","
        
        

        Overturned

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Andre Fili
            ","
              Sheymon Moraes
            ",19,11,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        3:07
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Julianna Pena
            ","
              Nicco Montano
            ",45,38,2,3,0,0,2,5,"
        Women's Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Ryan Hall
            ","
              Darren Elkins
            ",36,29,0,0,1,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Jonathan Martinez
            ","
              Liu Pingyuan
            ",32,27,0,0,0,0,0,0,"
        Bantamweight","
        
        

        KO/TKO

      ","
        Knee
      ","

        3
      ","

        
        3:54
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Brianna Van Buren
            ","
              Livinha Souza
            ",72,23,3,2,0,0,0,0,"
        Women's Strawweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Benito Lopez
            ","
              Vince Morales
            ",54,64,0,0,0,0,0,0,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: De Randamie vs. Ladd
            ","
      ,
      July 13, 2019
    "
"
              Leon Edwards
            ","
              Rafael Dos Anjos
            ",92,81,3,0,0,0,2,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Walt Harris
            ","
              Aleksei Oleinik
            ",4,1,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        0:12
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Greg Hardy
            ","
              Juan Adams
            ",36,3,0,0,0,0,0,0,"
        Heavyweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        1
      ","

        
        0:45
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Dan Hooker
            ","
              James Vick
            ",22,7,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        1
      ","

        
        2:33
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Alexander Hernandez
            ","
              Francisco Trinaldo
            ",25,25,0,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Andrei Arlovski
            ","
              Ben Rothwell
            ",152,70,0,0,0,0,0,0,"
        Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Alex Caceres
            ","
              Steven Peterson
            ",94,67,0,2,0,0,0,2,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Raquel Pennington
            ","
              Irene Aldana
            ",47,52,1,0,0,0,1,0,"
        Women's Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Klidson Abreu
            ","
              Sam Alvey
            ",36,28,1,0,0,0,1,0,"
        Light Heavyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Jennifer Maia
            ","
              Roxanne Modafferi
            ",83,29,0,0,0,0,0,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Ray Borg
            ","
              Gabriel Silva
            ",15,8,6,1,1,0,7,1,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Mario Bautista
            ","
              Jinsoo Son
            ",129,95,0,2,0,0,0,1,"
        Bantamweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Felipe Colares
            ","
              Domingo Pilarte
            ",23,11,2,2,0,1,1,1,"
        Bantamweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC Fight Night: Dos Anjos vs. Edwards
            ","
      ,
      July 20, 2019
    "
"
              Max Holloway
            ","
              Frankie Edgar
            ",129,96,0,1,0,0,0,0,"
        Featherweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Cris Cyborg
            ","
              Felicia Spencer
            ",122,38,0,0,0,0,1,0,"
        Women's Featherweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Geoff Neal
            ","
              Niko Price
            ",41,24,2,0,0,0,2,1,"
        Welterweight","
        
        

        KO/TKO

      ","
        Punches
      ","

        2
      ","

        
        2:39
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Arman Tsarukyan
            ","
              Olivier Aubin-Mercier
            ",47,23,2,0,0,0,0,0,"
        Lightweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Krzysztof Jotko
            ","
              Marc-Andre Barriault
            ",40,39,1,1,0,0,0,0,"
        Middleweight","
        
        

        S-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Viviane Araujo
            ","
              Alexis Davis
            ",67,68,2,0,0,0,0,0,"
        Women's Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Hakeem Dawodu
            ","
              Yoshinori Horie
            ",80,39,0,0,0,0,0,0,"
        Featherweight","
        
        

        KO/TKO

      ","
        Kick
      ","

        3
      ","

        
        4:09
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Gavin Tucker
            ","
              SeungWoo Choi
            ",37,23,5,2,2,0,3,2,"
        Featherweight","
        
        

        SUB

      ","
        Rear Naked Choke
      ","

        3
      ","

        
        3:17
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Deiveson Figueiredo
            ","
              Alexandre Pantoja
            ",67,61,2,2,0,0,2,0,"
        Flyweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Gillian Robertson
            ","
              Sarah Frota
            ",29,9,2,0,0,0,4,0,"
        Women's Flyweight","
        
        

        KO/TKO

      ","
        Elbows
      ","

        2
      ","

        
        4:13
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Erik Koch
            ","
              Kyle Stewart
            ",37,23,4,0,0,0,4,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        3
      ","

        
        5:00
      ","
              UFC 240: Holloway vs. Edgar
            ","
      ,
      July 27, 2019
    "
"
              Colby Covington
            ","
              Robbie Lawler
            ",179,78,10,0,0,0,0,0,"
        Welterweight","
        
        

        U-DEC

      ","
        
      ","

        5
      ","

        
        5:00
      ","
              UFC Fight Night: Covington vs. Lawler
            ","
      ,
      August 03, 2019
    "
"
              Jim Miller
            ","
              Clay Guida
            ",2,2,0,0,1,0,0,0,"
        Lightweight","
        
        

        SUB

      ","
        Guillotine Choke
      ","

        1
      ","

        
        0:58
      ","
              UFC Fight Night: Covington vs. Lawler
            ","
      ,
      August 03, 2019
    "
"
              Nasrat Haqparast
            ","
              Joaquim Silva
            ",21,15,0,0,0,0,0,0,"
        Lightweight","
        
        

        KO/TKO

      ","
        Punch
      ","

        2
      ","

        
        0:36
      ","
              UFC Fight Night: Covington vs. Lawler
            ","
      ,
      August 03, 2019
    "
