weightclass_Bantamweight_x,weightclass_Catch Weight_x,weightclass_Featherweight_x,weightclass_Flyweight_x,weightclass_Heavyweight_x,weightclass_Light Heavyweight_x,weightclass_Lightweight_x,weightclass_Middleweight_x,weightclass_Open Weight_x,weightclass_Strawweight_x,weightclass_Super Heavyweight_x,weightclass_Welterweight_x,stance_Open Stance_x,stance_Orthodox_x,stance_Sideways_x,stance_Southpaw_x,stance_Switch_x,weightclass_Bantamweight_y,weightclass_Catch Weight_y,weightclass_Featherweight_y,weightclass_Flyweight_y,weightclass_Heavyweight_y,weightclass_Light Heavyweight_y,weightclass_Lightweight_y,weightclass_Middleweight_y,weightclass_Open Weight_y,weightclass_Strawweight_y,weightclass_Super Heavyweight_y,weightclass_Welterweight_y,stance_Open Stance_y,stance_Orthodox_y,stance_Sideways_y,stance_Southpaw_y,stance_Switch_y,fx_win,height_diff,weight_diff,reach_diff,kds_sum_diff,sub_att_sum_diff,pass_sum_diff,rev_sum_diff,tds_succ_sum_diff,tds_att_sum_diff,tot_str_succ_sum_diff,tot_str_att_sum_diff,sig_str_head_succ_sum_diff,sig_str_head_att_sum_diff,sig_str_body_succ_sum_diff,sig_str_body_att_sum_diff,sig_str_leg_succ_sum_diff,sig_str_leg_att_sum_diff,sig_str_dist_succ_sum_diff,sig_str_dist_att_sum_diff,sig_str_clinch_succ_sum_diff,sig_str_clinch_att_sum_diff,sig_str_ground_succ_sum_diff,sig_str_ground_att_sum_diff,fight_time_sum_diff,kds_per_min_diff,sub_att_per_min_diff,pass_per_min_diff,rev_per_min_diff,tds_acc_diff,tds_succ_per_min_diff,tds_att_per_min_diff,tot_str_acc_diff,tot_str_succ_per_min_diff,tot_str_att_per_min_diff,sig_str_head_acc_diff,sig_str_head_succ_per_min_diff,sig_str_head_att_per_min_diff,sig_str_body_acc_diff,sig_str_body_succ_per_min_diff,sig_str_body_att_per_min_diff,sig_str_leg_acc_diff,sig_str_leg_succ_per_min_diff,sig_str_leg_att_per_min_diff,sig_str_dist_acc_diff,sig_str_dist_succ_per_min_diff,sig_str_dist_att_per_min_diff,sig_str_clinch_acc_diff,sig_str_clinch_succ_per_min_diff,sig_str_clinch_att_per_min_diff,sig_str_ground_acc_diff,sig_str_ground_succ_per_min_diff,sig_str_ground_att_per_min_diff,age_diff,ufc_wins_diff,ufc_losses_diff,ufc_draws_diff
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.020000000000000018,-15.0,-0.029999999999999805,-1.0,0.0,3.0,0.0,7.0,14.0,119.0,261.0,28.0,152.0,26.0,40.0,3.0,3.0,33.0,140.0,25.0,57.0,-1.0,-2.0,25.67,-0.23,0.0,0.1,0.0,0.41,0.23,-0.12,-0.25,-0.9699999999999998,1.9800000000000004,-0.4,-2.0300000000000002,0.5200000000000005,-0.31999999999999995,0.07999999999999996,0.5499999999999999,0.10999999999999999,-0.48999999999999994,-0.6900000000000001,-0.45999999999999996,-0.48,2.49,-0.31000000000000005,-0.75,-0.08000000000000007,0.020000000000000018,-1.22,-2.04,13.420000000000002,2,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,-0.07999999999999985,-15.0,-0.04999999999999982,0.0,0.0,-1.0,-1.0,5.0,23.0,100.0,59.0,-11.0,-66.0,19.0,22.0,26.0,31.0,-5.0,-72.0,36.0,55.0,3.0,4.0,0.0,0.0,0.0,-0.03,-0.03,-0.4,0.16,0.77,0.25,3.3400000000000003,1.9700000000000006,0.040000000000000036,-0.3700000000000001,-2.2,0.18000000000000005,0.6299999999999999,0.74,-0.16000000000000003,0.87,1.04,0.11000000000000001,-0.16000000000000014,-2.4,0.050000000000000044,1.2,1.83,-0.17000000000000004,0.1,0.13,3.1700000000000017,1,-3,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,-0.020000000000000018,-15.0,-0.04999999999999982,2.0,2.0,-5.0,0.0,-4.0,9.0,48.0,118.0,44.0,117.0,7.0,22.0,10.0,15.0,42.0,113.0,22.0,43.0,-3.0,-2.0,15.0,0.07,0.07,-0.33,0.0,-0.87,-0.33,0.09999999999999998,-0.15000000000000002,-3.1400000000000006,-2.17,-0.06,1.13,3.16,-0.38,-0.32999999999999985,0.17000000000000015,-0.18000000000000005,-0.09999999999999998,0.06000000000000005,-0.07999999999999996,1.1,3.1300000000000003,-0.31999999999999995,-0.030000000000000027,0.6700000000000002,-0.18000000000000005,-0.36,-0.4,13.759999999999998,4,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.050000000000000044,0.0,-0.029999999999999805,3.0,0.0,0.0,0.0,0.0,5.0,114.0,198.0,72.0,148.0,19.0,31.0,10.0,9.0,66.0,140.0,15.0,20.0,20.0,28.0,24.52,0.1,0.0,0.0,0.0,0.0,0.0,0.17,0.08000000000000007,0.21999999999999975,-1.0099999999999998,0.3,1.95,1.6600000000000001,-0.04999999999999993,-0.7099999999999999,-0.9000000000000001,1.0,0.33,0.15000000000000002,0.36,2.05,1.9899999999999998,0.07000000000000006,-1.1399999999999997,-2.01,0.71,0.67,0.93,9.569999999999997,5,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.10000000000000009,0.0,0.07000000000000006,1.0,0.0,3.0,0.0,2.0,4.0,-7.0,-51.0,13.0,-29.0,10.0,9.0,7.0,4.0,-8.0,-61.0,9.0,11.0,29.0,34.0,0.0,0.03,0.0,0.1,0.0,0.04999999999999999,0.07,0.13,0.09999999999999998,-0.23999999999999932,-1.7000000000000002,0.21000000000000008,0.4299999999999997,-0.9700000000000002,0.15000000000000002,0.32999999999999996,0.29999999999999993,0.18000000000000005,0.22999999999999998,0.13,0.15000000000000002,-0.26,-2.04,-0.020000000000000018,0.30000000000000004,0.37,0.10000000000000009,0.96,1.13,6.119999999999997,0,-1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.050000000000000044,-15.0,0.0,3.0,-1.0,-3.0,0.0,-6.0,-11.0,-102.0,-220.0,-37.0,-135.0,-6.0,-14.0,-4.0,-8.0,-25.0,-127.0,-9.0,-12.0,-13.0,-18.0,-27.16999999999998,3.41,-0.04,-0.11,0.0,-0.55,-0.21,-0.39,0.08000000000000007,9.580000000000002,16.369999999999997,0.24000000000000005,11.89,19.4,-0.43,-0.21,-0.5,-0.5,-0.14,-0.29,0.22,6.8100000000000005,13.08,0.20999999999999996,1.88,1.77,0.020000000000000018,2.8400000000000003,3.7699999999999996,2.1700000000000017,-4,-3,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.050000000000000044,0.0,0.020000000000000018,3.0,0.0,0.0,1.0,-2.0,-2.0,18.0,36.0,24.0,40.0,-1.0,0.0,-1.0,1.0,16.0,34.0,3.0,4.0,3.0,3.0,7.950000000000001,0.19,0.0,0.0,0.06,-1.0,-0.25,-0.25,0.020000000000000018,-1.2600000000000002,-3.29,0.09000000000000002,-0.06000000000000005,-1.9000000000000004,-0.20000000000000007,-0.31,-0.32,-0.30000000000000004,-0.31,-0.25,0.02999999999999997,-0.7599999999999998,-2.4700000000000006,-0.029999999999999916,-0.13,-0.13,0.75,0.19,0.12,3.1900000000000013,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.050000000000000044,0.0,0.020000000000000018,1.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,22.0,11.0,31.0,-11.0,-12.0,-2.0,1.0,11.0,33.0,-8.0,-7.0,-5.0,-6.0,7.070000000000002,0.05,0.0,0.0,0.05,-0.16999999999999998,-0.11,-0.17,-0.08000000000000002,-2.3999999999999995,-3.3200000000000003,-0.020000000000000018,-0.8600000000000003,-1.7299999999999995,-0.13,-1.04,-1.19,-0.29000000000000004,-0.34,-0.20999999999999996,-0.019999999999999962,-0.7400000000000002,-1.450000000000001,-0.10999999999999999,-1.09,-1.1899999999999997,-0.83,-0.41,-0.49,3.1899999999999977,2,-1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,-0.050000000000000044,0.0,-0.07999999999999985,2.0,-3.0,-3.0,-2.0,-2.0,-4.0,-21.0,-36.0,11.0,17.0,-6.0,-9.0,-1.0,0.0,16.0,26.0,3.0,1.0,-15.0,-19.0,-7.369999999999997,0.25,-0.19,-0.19,-0.13,-0.09999999999999998,-0.07,-0.08000000000000002,-0.030000000000000027,1.7999999999999998,4.229999999999999,0.06,2.6399999999999997,6.01,0.0,-0.27,-0.4,-0.15000000000000002,0.22999999999999998,0.41,0.12,2.73,6.119999999999999,0.14,0.8300000000000001,1.1099999999999999,-0.79,-0.97,-1.23,4.139999999999997,-1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.050000000000000044,0.0,0.0,0.0,2.0,-1.0,0.0,1.0,-12.0,39.0,-26.0,-13.0,-75.0,21.0,18.0,2.0,0.0,-19.0,-91.0,18.0,21.0,11.0,13.0,-7.990000000000002,0.05,0.22,-0.06,0.0,1.0,0.11,-0.66,0.42000000000000004,7.279999999999999,4.65,0.29,0.3900000000000001,-2.5299999999999994,0.38,2.73,2.75,0.29000000000000004,0.48000000000000004,0.37000000000000005,-0.1,-1.0699999999999998,-4.85,0.020000000000000018,2.5500000000000003,2.99,-0.010000000000000009,2.14,2.46,5.0,-2,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.050000000000000044,0.0,-0.020000000000000018,0.0,-1.0,-3.0,0.0,-2.0,-6.0,-3.0,16.0,12.0,35.0,-1.0,-7.0,3.0,3.0,16.0,32.0,3.0,4.0,-5.0,-5.0,2.3799999999999883,0.0,-0.04,-0.14,0.0,0.5,-0.09999999999999999,-0.26999999999999996,-0.07,-0.4500000000000002,-0.010000000000000675,-0.010000000000000009,0.32000000000000006,0.9500000000000002,0.45999999999999996,-0.07,-0.33999999999999997,0.0,0.11000000000000001,0.11000000000000001,0.06,0.54,0.8899999999999997,-0.010000000000000009,0.09000000000000002,0.12000000000000005,-0.04999999999999993,-0.26999999999999996,-0.2799999999999999,0.05000000000000071,-12,-5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-0.050000000000000044,0.0,-0.020000000000000018,2.0,-1.0,-5.0,0.0,-2.0,0.0,-35.0,12.0,-7.0,43.0,-5.0,-8.0,-2.0,-2.0,0.0,29.0,-1.0,16.0,-13.0,-12.0,-5.720000000000013,0.12,-0.04,-0.22,0.0,-0.25,-0.06,0.12,-0.25,-0.9100000000000001,3.009999999999999,-0.15,0.16000000000000014,4.16,-0.14,-0.19,-0.27999999999999997,-1.0,-0.09,-0.09,-0.06,0.3400000000000001,3.12,-0.53,0.07,1.1,-0.41,-0.53,-0.42,2.0500000000000007,-9,-4,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.050000000000000044,0.0,0.020000000000000018,0.0,1.0,3.0,0.0,2.0,6.0,3.0,-16.0,-12.0,-35.0,1.0,7.0,-3.0,-3.0,-16.0,-32.0,-3.0,-4.0,5.0,5.0,-2.3799999999999883,0.0,0.04,0.14,0.0,-0.5,0.09999999999999999,0.26999999999999996,0.07,0.4500000000000002,0.010000000000000675,0.010000000000000009,-0.32000000000000006,-0.9500000000000002,-0.45999999999999996,0.07,0.33999999999999997,0.0,-0.11000000000000001,-0.11000000000000001,-0.06,-0.54,-0.8899999999999997,0.010000000000000009,-0.09000000000000002,-0.12000000000000005,0.04999999999999993,0.26999999999999996,0.2799999999999999,-0.05000000000000071,12,5,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.050000000000000044,0.0,0.020000000000000018,0.0,0.0,-2.0,0.0,0.0,5.0,-35.0,-22.0,-27.0,-18.0,1.0,5.0,5.0,7.0,-11.0,8.0,1.0,-1.0,-11.0,-13.0,-7.329999999999991,0.0,0.0,-0.08,0.0,-0.71,0.03,0.32,-0.16999999999999998,-0.7399999999999998,1.5700000000000003,-0.15999999999999998,-0.69,1.3499999999999996,-0.36,0.16000000000000003,0.38,-0.17000000000000004,0.36999999999999994,0.48000000000000004,-0.1,0.030000000000000027,2.54,0.13,0.24000000000000005,0.17999999999999994,-0.79,-0.44,-0.5,1.9500000000000028,15,8,0
