fx_win,height_diff,weight_diff,reach_diff,fight_time_diff,age_diff,str_landed_per_min_diff,str_acc_diff,str_absorb_per_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,win_percentage_diff
0,-0.030000000000000027,0.0,0.0,12.219999999999999,-2.5799999999999983,4.75,0.54,-3.380000000000001,0.15000000000000002,0.0,0.0,-0.38,1.0,0.08999999999999997
0,0.030000000000000027,0.0,-0.030000000000000027,5.279999999999999,-4.59,3.9400000000000004,0.07000000000000006,-2.8400000000000007,-0.13,-1.54,-0.5,-0.25,-3.63,-0.13
1,0.030000000000000027,0.0,0.0,-39.8,-3.879999999999999,-0.2999999999999998,0.040000000000000036,0.04999999999999982,-0.020000000000000018,0.5,-0.21000000000000002,0.25,0.75,0.05999999999999994
1,-0.020000000000000018,0.0,-0.030000000000000027,35.0,3.969999999999999,0.0600000000000005,0.10000000000000003,-0.8899999999999997,0.030000000000000027,1.26,0.38,0.58,0.42,-0.09000000000000008
1,0.0,0.0,0.020000000000000018,36.76,2.6999999999999993,6.29,0.29000000000000004,1.9299999999999997,-0.07999999999999996,1.11,0.38,-0.89,0.0,-0.019999999999999907
0,0.0,0.0,-0.030000000000000027,28.53,1.2600000000000016,2.49,0.040000000000000036,-0.7599999999999998,-0.050000000000000044,-2.05,0.12000000000000002,-0.13,0.0,-0.22999999999999998
0,0.050000000000000044,20.0,0.08000000000000007,7.77,-1.6600000000000001,7.499999999999999,-0.050000000000000044,1.8500000000000005,-0.12,-4.82,-0.43,-0.20999999999999996,-0.8,0.16000000000000003
1,-0.020000000000000018,-35.0,-0.10999999999999988,-46.42999999999999,6.199999999999999,7.690000000000001,-0.039999999999999925,-5.76,-0.30999999999999994,4.930000000000001,0.48,-0.44,-0.62,0.029999999999999916
1,0.0,-35.0,-0.029999999999999805,6.029999999999999,8.819999999999997,9.5,0.62,2.3,0.36,8.63,1.0,0.0,-16.3,0.040000000000000036
0,0.0,-15.0,0.020000000000000018,-18.379999999999995,3.5600000000000023,2.56,0.020000000000000018,-1.5999999999999996,-0.15999999999999998,2.2399999999999993,0.45999999999999996,-0.11999999999999997,-0.74,-0.029999999999999916
1,-0.020000000000000018,-15.0,-0.029999999999999805,32.620000000000005,13.420000000000002,-0.08999999999999986,-0.21999999999999997,-0.7599999999999998,-0.32000000000000006,4.47,0.52,0.2,0.0,0.0
1,-0.07999999999999985,-15.0,-0.04999999999999982,11.82,3.1700000000000017,0.7400000000000002,0.04999999999999993,-3.29,-0.06999999999999995,2.41,-0.03999999999999998,-0.3400000000000001,-0.9600000000000001,0.10999999999999999
0,-0.020000000000000018,-15.0,-0.04999999999999982,45.0,13.759999999999998,-3.9000000000000004,-0.21999999999999997,-5.970000000000001,-0.34,-3.75,-0.72,-0.79,0.5,-0.12
1,0.050000000000000044,0.0,-0.029999999999999805,54.519999999999996,9.569999999999997,1.2000000000000002,0.14,-2.2199999999999998,-0.15000000000000002,1.75,0.23,-0.21000000000000002,0.5,-0.2300000000000001
0,0.10000000000000009,0.0,0.07000000000000006,1.4210854715202004e-14,6.119999999999997,-0.5199999999999996,0.06000000000000005,-2.5100000000000002,-0.050000000000000044,0.75,-0.010000000000000009,-0.03,0.5,0.010000000000000009
0,-0.050000000000000044,-15.0,0.0,-42.989999999999995,2.1700000000000017,9.67,0.11000000000000004,-1.33,-0.32,-2.74,-0.47,-0.5,-0.68,0.19999999999999996
1,-0.050000000000000044,0.0,0.020000000000000018,7.950000000000001,3.1900000000000013,-1.2600000000000002,0.020000000000000018,-3.9799999999999995,-0.19,-3.78,-1.0,0.67,0.0,0.35
1,-0.050000000000000044,0.0,0.020000000000000018,7.950000000000001,3.1899999999999977,-1.9799999999999995,-0.07,-3.0,-0.15000000000000002,-1.7,-0.16999999999999998,0.55,0.0,0.39
1,-0.050000000000000044,0.0,-0.07999999999999985,-2.349999999999998,4.139999999999997,0.3700000000000001,0.04999999999999999,1.5899999999999999,-0.030000000000000027,-1.0899999999999999,-0.04999999999999999,0.11000000000000004,-1.71,0.040000000000000036
0,-0.050000000000000044,0.0,0.0,-20.120000000000005,5.0,6.609999999999999,0.34,-2.0100000000000002,0.16999999999999998,0.1299999999999999,0.86,0.06,2.84,-0.44999999999999996
0,-0.020000000000000018,0.0,0.050000000000000044,16.059999999999995,-0.7899999999999991,0.6099999999999994,0.32999999999999996,-1.6900000000000004,0.27,-0.6599999999999999,0.0,-0.38,1.25,-0.22999999999999998
1,-0.050000000000000044,0.0,-0.020000000000000018,-5.439999999999998,0.05000000000000071,1.9100000000000001,0.21999999999999997,0.16999999999999993,0.15000000000000002,-1.7199999999999998,0.6,0.41000000000000003,-0.2499999999999999,-0.20999999999999996
1,-0.050000000000000044,0.0,-0.020000000000000018,-3.6899999999999977,0.05000000000000071,1.7999999999999998,0.22999999999999998,0.16000000000000014,0.17000000000000004,-1.7899999999999998,0.6,0.41000000000000003,-0.29999999999999993,-0.15000000000000002
0,0.050000000000000044,0.0,0.020000000000000018,16.939999999999998,-0.05000000000000071,-0.8700000000000001,-0.13999999999999996,0.8399999999999999,-0.08000000000000007,1.8800000000000001,-0.52,-0.22000000000000003,0.29999999999999993,0.17000000000000004
0,0.050000000000000044,0.0,0.020000000000000018,3.6899999999999977,-0.05000000000000071,-1.7999999999999998,-0.22999999999999998,-0.16000000000000014,-0.17000000000000004,1.7899999999999998,-0.6,-0.41000000000000003,0.29999999999999993,0.15000000000000002
