height_x,weight_x,reach_x,fx_win,fight_time_x,age_x,str_landed_per_min_x,str_acc_x,str_absorb_per_min_x,str_def_x,td_avg_x,td_acc_x,td_def_x,sub_avg_x,win_percentage_x,height_y,weight_y,reach_y,fight_time_y,age_y,str_landed_per_min_y,str_acc_y,str_absorb_per_min_y,str_def_y,td_avg_y,td_acc_y,td_def_y,sub_avg_y,win_percentage_y
1.73,155.0,1.78,1,35.629999999999995,30.14,4.88,0.6,3.06,0.55,1.26,1.0,0.64,0.84,0.6,1.78,155.0,1.8,39.31999999999999,30.09,3.08,0.37,2.9,0.38,3.05,0.4,0.23,1.14,0.75
1.78,155.0,1.8,0,52.56999999999999,30.09,4.01,0.46,3.9,0.47,3.14,0.48,0.42,1.14,0.77,1.73,155.0,1.78,35.629999999999995,30.14,4.88,0.6,3.06,0.55,1.26,1.0,0.64,0.84,0.6
1.78,155.0,1.8,0,39.31999999999999,30.09,3.08,0.37,2.9,0.38,3.05,0.4,0.23,1.14,0.75,1.73,155.0,1.78,35.629999999999995,30.14,4.88,0.6,3.06,0.55,1.26,1.0,0.64,0.84,0.6
1.73,155.0,1.78,1,28.449999999999996,30.24,2.99,0.47,3.66,0.55,1.05,1.0,0.77,0.0,0.57,1.75,155.0,1.73,17.82,31.03,4.43,0.42,4.43,0.42,4.21,0.83,0.83,2.53,0.73
1.73,155.0,1.78,1,20.029999999999994,30.37,5.74,0.55,3.69,0.46,4.49,0.86,0.67,0.0,0.62,1.73,155.0,1.83,46.11000000000001,29.31,5.34,0.5,4.62,0.52,3.9,0.63,0.45,0.98,0.63
1.73,155.0,1.78,0,17.609999999999996,31.22,4.83,0.51,4.43,0.44,4.26,0.56,0.5,0.0,0.59,1.8,155.0,1.93,35.97,30.82,4.53,0.41,4.53,0.41,0.42,0.33,0.33,1.25,0.9
1.73,155.0,1.78,1,25.179999999999996,32.14,3.81,0.4,4.41,0.45,4.17,0.5,0.6,0.0,0.61,1.78,155.0,1.8,34.36999999999999,32.09,2.53,0.36,4.42,0.45,3.93,0.43,0.09,0.44,0.75
1.73,155.0,1.78,1,25.179999999999996,32.14,3.81,0.4,4.37,0.45,4.17,0.5,0.5,0.0,0.65,1.78,155.0,1.8,34.36999999999999,32.09,2.53,0.36,4.42,0.45,3.93,0.43,0.09,0.44,0.75
1.78,155.0,1.8,0,47.61999999999999,32.09,3.53,0.44,4.89,0.46,3.46,0.46,0.07,0.0,0.74,1.73,155.0,1.78,25.179999999999996,32.14,3.81,0.4,4.37,0.45,4.17,0.5,0.5,0.0,0.65
1.78,155.0,1.8,0,34.36999999999999,32.09,2.53,0.36,4.42,0.45,3.93,0.43,0.09,0.44,0.75,1.73,155.0,1.78,25.179999999999996,32.14,3.81,0.4,4.37,0.45,4.17,0.5,0.5,0.0,0.65
1.73,155.0,1.78,1,20.349999999999998,32.29,2.6,0.3,4.91,0.47,1.47,0.25,0.75,0.0,0.63,1.8,155.0,1.78,17.72,30.22,3.27,0.77,3.27,0.77,0.0,0.0,0.0,0.85,0.73
1.73,155.0,1.78,0,21.799999999999997,33.38,3.26,0.58,2.71,0.54,2.06,0.6,0.45,0.69,0.67,1.91,155.0,1.93,39.15,29.95,5.42,0.5,5.06,0.53,0.0,0.0,0.0,0.38,0.6
1.73,155.0,1.78,0,30.869999999999997,34.25,2.59,0.52,2.69,0.47,1.94,0.4,0.46,0.49,0.64,1.73,155.0,1.73,41.400000000000006,32.62,7.42,0.59,5.46,0.36,0.0,0.0,0.0,0.0,0.75
1.91,205.0,1.93,0,9.02,29.59,6.76,0.51,4.77,0.42,0.0,0.0,0.0,0.0,0.78,1.93,265.0,2.03,17.03,25.96,8.22,0.65,9.1,0.64,6.17,0.58,0.83,0.0,1.0
1.91,205.0,1.93,0,15.0,30.67,4.27,0.52,7.67,0.58,0.0,0.0,0.47,0.0,0.7,1.88,205.0,2.01,15.0,29.29,7.07,0.65,7.07,0.65,4.0,0.8,0.8,2.0,1.0
